Corpus	InfMorpho	FreqCount	WDNoSLE	TypeCont	PhonEnd	OrthCont	Unit	TotalFreq	UnitFreq	UnitProb
ManG35	Uninflected	Token	SUB	G1	5	in	ct	100.02	5.68	0.05680754
ManG35	Inflected	Type	ALL	G1	5	in	s	113	94	0.83185841
ManG35	Inflected	Type	ALL	G1	5	in	t	113	17	0.15044248
ManG35	Inflected	Type	ALL	G1	5	in	cts	113	2	0.01769912
ManG35	Inflected	Type	SUB	G1	5	in	s	113	94	0.83185841
ManG35	Inflected	Type	SUB	G1	5	in	t	113	17	0.15044248
ManG35	Inflected	Type	SUB	G1	5	in	cts	113	2	0.01769912
ManG35	Inflected	Token	ALL	G1	5	in	s	813.44	582.73	0.71637937
ManG35	Inflected	Token	ALL	G1	5	in	t	813.44	229.39	0.28200083
ManG35	Inflected	Token	ALL	G1	5	in	cts	813.44	1.32	0.0016198
ManG35	Inflected	Token	SUB	G1	5	in	s	813.44	582.73	0.71637937
ManG35	Inflected	Token	SUB	G1	5	in	t	813.44	229.39	0.28200083
ManG35	Inflected	Token	SUB	G1	5	in	cts	813.44	1.32	0.0016198
Lexique	All Words	Type	ALL	G1	5	în	t	21	21	1
Lexique	All Words	Type	SUB	G1	5	în	t	21	21	1
Lexique	All Words	Token	ALL	G1	5	în	t	18.26	18.26	1
Lexique	All Words	Token	SUB	G1	5	în	t	18.26	18.26	1
Lexique	Inflected	Type	ALL	G1	5	în	t	21	21	1
Lexique	Inflected	Type	SUB	G1	5	în	t	21	21	1
Lexique	Inflected	Token	ALL	G1	5	în	t	18.26	18.26	1
Lexique	Inflected	Token	SUB	G1	5	în	t	18.26	18.26	1
ManG15	All Words	Type	ALL	G1	5	în	t	5	5	1
ManG15	All Words	Type	SUB	G1	5	în	t	5	5	1
ManG15	All Words	Token	ALL	G1	5	în	t	0.72	0.72	1
ManG15	All Words	Token	SUB	G1	5	în	t	0.72	0.72	1
ManG15	Inflected	Type	ALL	G1	5	în	t	5	5	1
ManG15	Inflected	Type	SUB	G1	5	în	t	5	5	1
ManG15	Inflected	Token	ALL	G1	5	în	t	0.72	0.72	1
ManG15	Inflected	Token	SUB	G1	5	în	t	0.72	0.72	1
ManG2	All Words	Type	ALL	G1	5	în	t	1	1	1
ManG2	All Words	Type	SUB	G1	5	în	t	1	1	1
ManG2	All Words	Token	ALL	G1	5	în	t	0.2	0.2	1
ManG2	All Words	Token	SUB	G1	5	în	t	0.2	0.2	1
ManG2	Inflected	Type	ALL	G1	5	în	t	1	1	1
ManG2	Inflected	Type	SUB	G1	5	în	t	1	1	1
ManG2	Inflected	Token	ALL	G1	5	în	t	0.2	0.2	1
ManG2	Inflected	Token	SUB	G1	5	în	t	0.2	0.2	1
ManG35	All Words	Type	ALL	G1	5	în	t	5	5	1
ManG35	All Words	Type	SUB	G1	5	în	t	5	5	1
ManG35	All Words	Token	ALL	G1	5	în	t	0.9	0.9	1
ManG35	All Words	Token	SUB	G1	5	în	t	0.9	0.9	1
ManG35	Inflected	Type	ALL	G1	5	în	t	5	5	1
ManG35	Inflected	Type	SUB	G1	5	în	t	5	5	1
