Corpus	InfMorpho	FreqCount	Condition	PreLet	Unit	TotalFreq	UnitFreq	UnitProb	UnitFreqSL	UnitProbSL
Lexique	All Words	Type	Yes	n	a	21921	289	0.0131837	0	0
Lexique	All Words	Type	Yes	n	g	21921	90	0.0041057	17	0.188889
Lexique	All Words	Type	Yes	n	d	21921	82	0.0037407	72	0.878049
Lexique	All Words	Type	Yes	n	i	21921	45	0.0020528	0	0
Lexique	All Words	Type	Yes	n	u	21921	44	0.0020072	0	0
Lexique	All Words	Type	Yes	n	o	21921	35	0.0015966	0	0
Lexique	All Words	Type	Yes	n	c	21921	13	0.000593	9	0.692308
Lexique	All Words	Type	Yes	n	k	21921	6	0.0002737	0	0
Lexique	All Words	Type	Yes	n	x	21921	5	0.0002281	0	0
Lexique	All Words	Type	Yes	n	y	21921	3	0.0001369	0	0
Lexique	All Words	Type	Yes	n	z	21921	2	0.0000912	0	0
Lexique	All Words	Type	Yes	n	q	21921	1	0.0000456	0	0
Lexique	All Words	Type	Yes	o	n	2804	2031	0.7243224	0	0
Lexique	All Words	Type	Yes	o	s	2804	277	0.0987874	251	0.906137
Lexique	All Words	Type	Yes	o	t	2804	176	0.0627675	171	0.971591
Lexique	All Words	Type	Yes	o	u	2804	82	0.0292439	0	0
Lexique	All Words	Type	Yes	o	r	2804	53	0.0189016	0	0
Lexique	All Words	Type	Yes	o	l	2804	47	0.0167618	0	0
Lexique	All Words	Type	Yes	o	c	2804	30	0.010699	6	0.2
Lexique	All Words	Type	Yes	o	i	2804	28	0.0099857	0	0
Lexique	All Words	Type	Yes	o	m	2804	18	0.0064194	0	0
Lexique	All Words	Type	Yes	o	p	2804	14	0.0049929	4	0.285714
Lexique	All Words	Type	Yes	o	b	2804	8	0.0028531	0	0
Lexique	All Words	Type	Yes	o	x	2804	6	0.0021398	0	0
Lexique	All Words	Type	Yes	o	f	2804	5	0.0017832	0	0
Lexique	All Words	Type	Yes	o	k	2804	5	0.0017832	0	0
Lexique	All Words	Type	Yes	o	d	2804	4	0.0014265	1	0.25
Lexique	All Words	Type	Yes	o	g	2804	4	0.0014265	0	0
Lexique	All Words	Type	Yes	o	w	2804	4	0.0014265	4	1
Lexique	All Words	Type	Yes	o	y	2804	4	0.0014265	0	0
Lexique	All Words	Type	Yes	o	ï	2804	2	0.0007133	0	0
Lexique	All Words	Type	Yes	o	o	2804	2	0.0007133	0	0
Lexique	All Words	Type	Yes	o	a	2804	1	0.0003566	0	0
Lexique	All Words	Type	Yes	o	ë	2804	1	0.0003566	0	0
Lexique	All Words	Type	Yes	o	q	2804	1	0.0003566	0	0
Lexique	All Words	Type	Yes	o	ù	2804	1	0.0003566	0	0
Lexique	All Words	Type	Yes	ô	t	13	12	0.9230769	12	1
Lexique	All Words	Type	Yes	ô	l	13	1	0.0769231	0	0
Lexique	All Words	Type	Yes	ö	m	2	2	1	0	0
Lexique	All Words	Type	Yes	p	e	468	185	0.3952991	185	1
Lexique	All Words	Type	Yes	p	é	468	105	0.224359	0	0
Lexique	All Words	Type	Yes	p	a	468	66	0.1410256	0	0
Lexique	All Words	Type	Yes	p	s	468	50	0.1068376	38	0.76
Lexique	All Words	Type	Yes	p	i	468	20	0.042735	0	0
Lexique	All Words	Type	Yes	p	o	468	15	0.0320513	0	0
Lexique	All Words	Type	Yes	p	t	468	11	0.0235043	3	0.272727
Lexique	All Words	Type	Yes	p	u	468	10	0.0213675	0	0
Lexique	All Words	Type	Yes	p	h	468	3	0.0064103	0	0
Lexique	All Words	Type	Yes	p	y	468	2	0.0042735	0	0
Lexique	All Words	Type	Yes	p	f	468	1	0.0021368	0	0
Lexique	All Words	Type	Yes	q	s	1	1	1	1	1
Lexique	All Words	Type	Yes	r	e	6459	2204	0.3412293	2203	0.999546
Lexique	All Words	Type	Yes	r	s	6459	1794	0.277752	1790	0.99777
Lexique	All Words	Type	Yes	r	a	6459	1465	0.2268153	0	0
Lexique	All Words	Type	Yes	r	é	6459	417	0.0645611	0	0
Lexique	All Words	Type	Yes	r	d	6459	274	0.0424214	268	0.978102
Lexique	All Words	Type	Yes	r	t	6459	106	0.0164112	99	0.933962
Lexique	All Words	Type	Yes	r	i	6459	71	0.0109924	0	0
Lexique	All Words	Type	Yes	r	o	6459	50	0.0077411	0	0
Lexique	All Words	Type	Yes	r	u	6459	31	0.0047995	0	0
Lexique	All Words	Type	Yes	r	y	6459	12	0.0018579	0	0
Lexique	All Words	Type	Yes	r	f	6459	7	0.0010838	2	0.285714
Lexique	All Words	Type	Yes	r	c	6459	6	0.0009289	3	0.5
Lexique	All Words	Type	Yes	r	k	6459	6	0.0009289	0	0
Lexique	All Words	Type	Yes	r	g	6459	5	0.0007741	2	0.4
Lexique	All Words	Type	Yes	r	n	6459	5	0.0007741	0	0
Lexique	All Words	Type	Yes	r	m	6459	2	0.0003096	0	0
Lexique	All Words	Type	Yes	r	è	6459	1	0.0001548	0	0
Lexique	All Words	Type	Yes	r	l	6459	1	0.0001548	0	0
Lexique	All Words	Type	Yes	r	r	6459	1	0.0001548	0	0
Lexique	All Words	Type	Yes	r	û	6459	1	0.0001548	0	0
Lexique	All Words	Type	Yes	s	e	2817	1943	0.6897409	1941	0.998971
Lexique	All Words	Type	Yes	s	é	2817	501	0.1778488	0	0
Lexique	All Words	Type	Yes	s	a	2817	257	0.0912318	0	0
Lexique	All Words	Type	Yes	s	s	2817	23	0.0081647	0	0
Lexique	All Words	Type	Yes	s	t	2817	21	0.0074547	0	0
Lexique	All Words	Type	Yes	s	h	2817	18	0.0063898	0	0
Lexique	All Words	Type	Yes	s	i	2817	18	0.0063898	0	0
Lexique	All Words	Type	Yes	s	o	2817	15	0.0053248	0	0
Lexique	All Words	Type	Yes	s	u	2817	13	0.0046148	0	0
Lexique	All Words	Type	Yes	s	k	2817	3	0.001065	0	0
Lexique	All Words	Type	Yes	s	y	2817	3	0.001065	0	0
Lexique	All Words	Type	Yes	s	c	2817	2	0.00071	0	0
Lexique	All Words	Type	Yes	t	e	6988	2827	0.4045507	2823	0.998585
Lexique	All Words	Type	Yes	t	s	6988	2311	0.3307098	2310	0.999567
Lexique	All Words	Type	Yes	t	é	6988	1251	0.1790212	0	0
Lexique	All Words	Type	Yes	t	a	6988	406	0.0580996	0	0
Lexique	All Words	Type	Yes	t	i	6988	80	0.0114482	0	0
Lexique	All Words	Type	Yes	t	o	6988	61	0.0087293	0	0
Lexique	All Words	Type	Yes	t	u	6988	25	0.0035776	0	0
Lexique	All Words	Type	Yes	t	h	6988	13	0.0018603	1	0.076923
Lexique	All Words	Type	Yes	t	y	6988	6	0.0008586	0	0
Lexique	All Words	Type	Yes	t	z	6988	6	0.0008586	0	0
Lexique	All Words	Type	Yes	t	à	6988	1	0.0001431	0	0
Lexique	All Words	Type	Yes	t	l	6988	1	0.0001431	0	0
Lexique	All Words	Type	Yes	u	e	4887	1547	0.3165541	1546	0.999354
Lexique	All Words	Type	Yes	u	r	4887	1124	0.229998	1	0.00089
Lexique	All Words	Type	Yes	u	x	4887	895	0.1831389	894	0.998883
Lexique	All Words	Type	Yes	u	s	4887	443	0.0906487	328	0.740406
Lexique	All Words	Type	Yes	u	é	4887	279	0.0570902	0	0
Lexique	All Words	Type	Yes	u	a	4887	165	0.033763	0	0
Lexique	All Words	Type	Yes	u	t	4887	134	0.0274197	114	0.850746
Lexique	All Words	Type	Yes	u	m	4887	121	0.0247596	0	0
Lexique	All Words	Type	Yes	u	d	4887	36	0.0073665	34	0.944444
Lexique	All Words	Type	Yes	u	i	4887	35	0.0071619	0	0
Lexique	All Words	Type	Yes	u	l	4887	26	0.0053202	5	0.192308
Lexique	All Words	Type	Yes	u	f	4887	17	0.0034786	0	0
Lexique	All Words	Type	Yes	u	n	4887	17	0.0034786	0	0
Lexique	All Words	Type	Yes	u	c	4887	13	0.0026601	1	0.076923
Lexique	All Words	Type	Yes	u	p	4887	8	0.001637	5	0.625
Lexique	All Words	Type	Yes	u	ë	4887	7	0.0014324	7	1
Lexique	All Words	Type	Yes	u	k	4887	7	0.0014324	0	0
Lexique	All Words	Type	Yes	u	b	4887	4	0.0008185	1	0.25
Lexique	All Words	Type	Yes	u	o	4887	4	0.0008185	0	0
Lexique	All Words	Type	Yes	u	ï	4887	2	0.0004092	0	0
Lexique	All Words	Type	Yes	u	g	4887	1	0.0002046	1	1
Lexique	All Words	Type	Yes	u	h	4887	1	0.0002046	1	1
Lexique	All Words	Type	Yes	u	y	4887	1	0.0002046	0	0
Lexique	All Words	Type	Yes	û	t	47	44	0.9361702	43	0.977273
Lexique	All Words	Type	Yes	û	r	47	2	0.0425532	0	0
Lexique	All Words	Type	Yes	û	l	47	1	0.0212766	1	1
Lexique	All Words	Type	Yes	ü	k	2	1	0.5	0	0
Lexique	All Words	Type	Yes	ü	m	2	1	0.5	0	0
Lexique	All Words	Type	Yes	v	e	514	359	0.6984436	358	0.997214
Lexique	All Words	Type	Yes	v	é	514	75	0.1459144	0	0
Lexique	All Words	Type	Yes	v	a	514	57	0.1108949	0	0
Lexique	All Words	Type	Yes	v	i	514	14	0.0272374	0	0
Lexique	All Words	Type	Yes	v	u	514	7	0.0136187	0	0
Lexique	All Words	Type	Yes	v	o	514	2	0.0038911	0	0
Lexique	All Words	Type	Yes	w	s	16	7	0.4375	7	1
Lexique	All Words	Type	Yes	w	é	16	2	0.125	0	0
Lexique	All Words	Type	Yes	w	n	16	2	0.125	0	0
Lexique	All Words	Type	Yes	w	a	16	1	0.0625	0	0
Lexique	All Words	Type	Yes	w	e	16	1	0.0625	1	1
Lexique	All Words	Type	Yes	w	i	16	1	0.0625	0	0
Lexique	All Words	Type	Yes	w	k	16	1	0.0625	0	0
Lexique	All Words	Type	Yes	w	l	16	1	0.0625	0	0
Lexique	All Words	Type	Yes	x	e	57	28	0.4912281	28	1
Lexique	All Words	Type	Yes	x	é	57	14	0.245614	0	0
Lexique	All Words	Type	Yes	x	a	57	8	0.1403509	0	0
Lexique	All Words	Type	Yes	x	o	57	4	0.0701754	0	0
