Corpus,InfMorpho,FreqCount,WDNoSLE,TypeCont,PhonEnd,OrthCont,Unit,TotalFreq,UnitFreq,UnitProb
ManG15,All Words,Type,SUB,G1,5,ain,c,47,1,.02127660
ManG15,All Words,Token,ALL,G1,5,ain,#,2605.22,2013.28,.77278543
ManG15,All Words,Token,ALL,G1,5,ain,s,2605.22,565.10,.21691169
ManG15,All Words,Token,ALL,G1,5,ain,t,2605.22,25.20,.00967101
ManG15,All Words,Token,ALL,G1,5,ain,ts,2605.22,1.64,.00062852
ManG15,All Words,Token,ALL,G1,5,ain,c,2605.22,0.01,.00000335
ManG15,All Words,Token,SUB,G1,5,ain,s,591.94,565.10,.95465571
ManG15,All Words,Token,SUB,G1,5,ain,t,591.94,25.20,.04256335
ManG15,All Words,Token,SUB,G1,5,ain,ts,591.94,1.64,.00276621
ManG15,All Words,Token,SUB,G1,5,ain,c,591.94,0.01,.00001473
ManG15,Uninflected,Type,ALL,G1,5,ain,#,57,55,.96491228
ManG15,Uninflected,Type,ALL,G1,5,ain,t,57,2,.03508772
ManG15,Uninflected,Type,SUB,G1,5,ain,t,2,2,1
ManG15,Uninflected,Token,ALL,G1,5,ain,#,2019.73,2013.28,.99680316
ManG15,Uninflected,Token,ALL,G1,5,ain,t,2019.73,6.46,.00319684
ManG15,Uninflected,Token,SUB,G1,5,ain,t,6.46,6.46,1
ManG15,Inflected,Type,ALL,G1,5,ain,s,45,38,.84444444
ManG15,Inflected,Type,ALL,G1,5,ain,t,45,3,.06666667
ManG15,Inflected,Type,ALL,G1,5,ain,ts,45,3,.06666667
ManG15,Inflected,Type,ALL,G1,5,ain,c,45,1,.02222222
ManG15,Inflected,Type,SUB,G1,5,ain,s,45,38,.84444444
ManG15,Inflected,Type,SUB,G1,5,ain,t,45,3,.06666667
ManG15,Inflected,Type,SUB,G1,5,ain,ts,45,3,.06666667
ManG15,Inflected,Type,SUB,G1,5,ain,c,45,1,.02222222
ManG15,Inflected,Token,ALL,G1,5,ain,s,585.49,565.10,.96518368
ManG15,Inflected,Token,ALL,G1,5,ain,t,585.49,18.74,.03200472
ManG15,Inflected,Token,ALL,G1,5,ain,ts,585.49,1.64,.00279671
ManG15,Inflected,Token,ALL,G1,5,ain,c,585.49,0.01,.00001489
ManG15,Inflected,Token,SUB,G1,5,ain,s,585.49,565.10,.96518368
ManG15,Inflected,Token,SUB,G1,5,ain,t,585.49,18.74,.03200472
ManG15,Inflected,Token,SUB,G1,5,ain,ts,585.49,1.64,.00279671
ManG15,Inflected,Token,SUB,G1,5,ain,c,585.49,0.01,.00001489
ManG1,All Words,Type,ALL,G1,5,ain,#,44,27,.61363636
ManG1,All Words,Type,ALL,G1,5,ain,s,44,13,.29545455
ManG1,All Words,Type,ALL,G1,5,ain,t,44,4,.09090909
ManG1,All Words,Type,SUB,G1,5,ain,s,17,13,.76470588
ManG1,All Words,Type,SUB,G1,5,ain,t,17,4,.23529412
ManG1,All Words,Token,ALL,G1,5,ain,#,2405.20,2145.98,.89222650
ManG1,All Words,Token,ALL,G1,5,ain,s,2405.20,231.42,.09621824
ManG1,All Words,Token,ALL,G1,5,ain,t,2405.20,27.79,.01155526
ManG1,All Words,Token,SUB,G1,5,ain,s,259.22,231.42,.89278196
ManG1,All Words,Token,SUB,G1,5,ain,t,259.22,27.79,.10721804
ManG1,Uninflected,Type,ALL,G1,5,ain,#,29,27,.93103448
ManG1,Uninflected,Type,ALL,G1,5,ain,t,29,2,.06896552
ManG1,Uninflected,Type,SUB,G1,5,ain,t,2,2,1
ManG1,Uninflected,Token,ALL,G1,5,ain,#,2157.49,2145.98,.99466905
ManG1,Uninflected,Token,ALL,G1,5,ain,t,2157.49,11.50,.00533095
ManG1,Uninflected,Token,SUB,G1,5,ain,t,11.50,11.50,1
ManG1,Inflected,Type,ALL,G1,5,ain,s,15,13,.86666667
ManG1,Inflected,Type,ALL,G1,5,ain,t,15,2,.13333333
ManG1,Inflected,Type,SUB,G1,5,ain,s,15,13,.86666667
ManG1,Inflected,Type,SUB,G1,5,ain,t,15,2,.13333333
ManG1,Inflected,Token,ALL,G1,5,ain,s,247.72,231.42,.93423386
ManG1,Inflected,Token,ALL,G1,5,ain,t,247.72,16.29,.06576614
ManG1,Inflected,Token,SUB,G1,5,ain,s,247.72,231.42,.93423386
ManG1,Inflected,Token,SUB,G1,5,ain,t,247.72,16.29,.06576614
ManG2,All Words,Type,ALL,G1,5,ain,#,62,37,.59677419
ManG2,All Words,Type,ALL,G1,5,ain,s,62,21,.33870968
ManG2,All Words,Type,ALL,G1,5,ain,t,62,4,.06451613
ManG2,All Words,Type,SUB,G1,5,ain,s,25,21,.84000000
ManG2,All Words,Type,SUB,G1,5,ain,t,25,4,.16000000
ManG2,All Words,Token,ALL,G1,5,ain,#,2298.93,1797.38,.78183096
ManG2,All Words,Token,ALL,G1,5,ain,s,2298.93,493.43,.21463624
ManG2,All Words,Token,ALL,G1,5,ain,t,2298.93,8.12,.00353280
ManG2,All Words,Token,SUB,G1,5,ain,s,501.56,493.43,.98380704
ManG2,All Words,Token,SUB,G1,5,ain,t,501.56,8.12,.01619296
ManG2,Uninflected,Type,ALL,G1,5,ain,#,38,37,.97368421
ManG2,Uninflected,Type,ALL,G1,5,ain,t,38,1,.02631579
ManG2,Uninflected,Type,SUB,G1,5,ain,t,1,1,1
ManG2,Uninflected,Token,ALL,G1,5,ain,#,1800.59,1797.38,.99821355
ManG2,Uninflected,Token,ALL,G1,5,ain,t,1800.59,3.22,.00178645
ManG2,Uninflected,Token,SUB,G1,5,ain,t,3.22,3.22,1
ManG2,Inflected,Type,ALL,G1,5,ain,s,24,21,.87500000
ManG2,Inflected,Type,ALL,G1,5,ain,t,24,3,.12500000
ManG2,Inflected,Type,SUB,G1,5,ain,s,24,21,.87500000
ManG2,Inflected,Type,SUB,G1,5,ain,t,24,3,.12500000
ManG2,Inflected,Token,ALL,G1,5,ain,s,498.34,493.43,.99015732
ManG2,Inflected,Token,ALL,G1,5,ain,t,498.34,4.91,.00984268
ManG2,Inflected,Token,SUB,G1,5,ain,s,498.34,493.43,.99015732
ManG2,Inflected,Token,SUB,G1,5,ain,t,498.34,4.91,.00984268
ManG35,All Words,Type,ALL,G1,5,ain,#,99,52,.52525253
ManG35,All Words,Type,ALL,G1,5,ain,s,99,38,.38383838
ManG35,All Words,Type,ALL,G1,5,ain,t,99,5,.05050505
ManG35,All Words,Type,ALL,G1,5,ain,ts,99,3,.03030303
ManG35,All Words,Type,ALL,G1,5,ain,c,99,1,.01010101
ManG35,All Words,Type,SUB,G1,5,ain,s,47,38,.80851064
ManG35,All Words,Type,SUB,G1,5,ain,t,47,5,.10638298
ManG35,All Words,Type,SUB,G1,5,ain,ts,47,3,.06382979
ManG35,All Words,Type,SUB,G1,5,ain,c,47,1,.02127660
ManG35,All Words,Token,ALL,G1,5,ain,#,2712.78,2047.93,.75492200
ManG35,All Words,Token,ALL,G1,5,ain,s,2712.78,636.20,.23451845
ManG35,All Words,Token,ALL,G1,5,ain,t,2712.78,25.91,.00955095
ManG35,All Words,Token,ALL,G1,5,ain,ts,2712.78,2.72,.00100250
ManG35,All Words,Token,ALL,G1,5,ain,c,2712.78,0.02,.00000610
ManG35,All Words,Token,SUB,G1,5,ain,s,664.84,636.20,.95691350
ManG35,All Words,Token,SUB,G1,5,ain,t,664.84,25.91,.03897107
ManG35,All Words,Token,SUB,G1,5,ain,ts,664.84,2.72,.00409055
ManG35,All Words,Token,SUB,G1,5,ain,c,664.84,0.02,.00002488
ManG35,Uninflected,Type,ALL,G1,5,ain,#,54,52,.96296296
ManG35,Uninflected,Type,ALL,G1,5,ain,t,54,2,.03703704
ManG35,Uninflected,Type,SUB,G1,5,ain,t,2,2,1
ManG35,Uninflected,Token,ALL,G1,5,ain,#,2052.91,2047.93,.99757480
ManG35,Uninflected,Token,ALL,G1,5,ain,t,2052.91,4.98,.00242520
ManG35,Uninflected,Token,SUB,G1,5,ain,t,4.98,4.98,1
ManG35,Inflected,Type,ALL,G1,5,ain,s,45,38,.84444444
ManG35,Inflected,Type,ALL,G1,5,ain,t,45,3,.06666667
ManG35,Inflected,Type,ALL,G1,5,ain,ts,45,3,.06666667
ManG35,Inflected,Type,ALL,G1,5,ain,c,45,1,.02222222
ManG35,Inflected,Type,SUB,G1,5,ain,s,45,38,.84444444
ManG35,Inflected,Type,SUB,G1,5,ain,t,45,3,.06666667
ManG35,Inflected,Type,SUB,G1,5,ain,ts,45,3,.06666667
ManG35,Inflected,Type,SUB,G1,5,ain,c,45,1,.02222222
ManG35,Inflected,Token,ALL,G1,5,ain,s,659.86,636.20,.96413349
ManG35,Inflected,Token,ALL,G1,5,ain,t,659.86,20.93,.03172002
ManG35,Inflected,Token,ALL,G1,5,ain,ts,659.86,2.72,.00412142
ManG35,Inflected,Token,ALL,G1,5,ain,c,659.86,0.02,.00002507
ManG35,Inflected,Token,SUB,G1,5,ain,s,659.86,636.20,.96413349
ManG35,Inflected,Token,SUB,G1,5,ain,t,659.86,20.93,.03172002
ManG35,Inflected,Token,SUB,G1,5,ain,ts,659.86,2.72,.00412142
ManG35,Inflected,Token,SUB,G1,5,ain,c,659.86,0.02,.00002507
Lexique,All Words,Type,ALL,G1,5,ein,s,59,17,.28813559
Lexique,All Words,Type,ALL,G1,5,ein,t,59,17,.28813559
Lexique,All Words,Type,ALL,G1,5,ein,ts,59,15,.25423729
Lexique,All Words,Type,ALL,G1,5,ein,#,59,8,.13559322
Lexique,All Words,Type,ALL,G1,5,ein,g,59,2,.03389831
Lexique,All Words,Type,SUB,G1,5,ein,s,51,17,.33333333
Lexique,All Words,Type,SUB,G1,5,ein,t,51,17,.33333333
Lexique,All Words,Type,SUB,G1,5,ein,ts,51,15,.29411765
Lexique,All Words,Type,SUB,G1,5,ein,g,51,2,.03921569
Lexique,All Words,Token,ALL,G1,5,ein,#,600.09,279.61,.46594677
Lexique,All Words,Token,ALL,G1,5,ein,s,600.09,146.57,.24424670
Lexique,All Words,Token,ALL,G1,5,ein,t,600.09,144.55,.24088053
Lexique,All Words,Token,ALL,G1,5,ein,ts,600.09,29.22,.04869270
Lexique,All Words,Token,ALL,G1,5,ein,g,600.09,0.14,.00023330
Lexique,All Words,Token,SUB,G1,5,ein,s,320.48,146.57,.45734523
Lexique,All Words,Token,SUB,G1,5,ein,t,320.48,144.55,.45104219
Lexique,All Words,Token,SUB,G1,5,ein,ts,320.48,29.22,.09117574
Lexique,All Words,Token,SUB,G1,5,ein,g,320.48,0.14,.00043684
Lexique,Uninflected,Type,ALL,G1,5,ein,t,21,11,.52380952
Lexique,Uninflected,Type,ALL,G1,5,ein,#,21,8,.38095238
Lexique,Uninflected,Type,ALL,G1,5,ein,g,21,2,.09523810
Lexique,Uninflected,Type,SUB,G1,5,ein,t,13,11,.84615385
Lexique,Uninflected,Type,SUB,G1,5,ein,g,13,2,.15384615
Lexique,Uninflected,Token,ALL,G1,5,ein,#,417.20,279.61,.67020614
Lexique,Uninflected,Token,ALL,G1,5,ein,t,417.20,137.45,.32945829
Lexique,Uninflected,Token,ALL,G1,5,ein,g,417.20,0.14,.00033557
Lexique,Uninflected,Token,SUB,G1,5,ein,t,137.59,137.45,.99898248
Lexique,Uninflected,Token,SUB,G1,5,ein,g,137.59,0.14,.00101752
Lexique,Inflected,Type,ALL,G1,5,ein,s,49,17,.34693878
Lexique,Inflected,Type,ALL,G1,5,ein,t,49,17,.34693878
Lexique,Inflected,Type,ALL,G1,5,ein,ts,49,15,.30612245
Lexique,Inflected,Type,SUB,G1,5,ein,s,49,17,.34693878
Lexique,Inflected,Type,SUB,G1,5,ein,t,49,17,.34693878
Lexique,Inflected,Type,SUB,G1,5,ein,ts,49,15,.30612245
Lexique,Inflected,Token,ALL,G1,5,ein,s,320.34,146.57,.45754511
Lexique,Inflected,Token,ALL,G1,5,ein,t,320.34,144.55,.45123931
Lexique,Inflected,Token,ALL,G1,5,ein,ts,320.34,29.22,.09121558
Lexique,Inflected,Token,SUB,G1,5,ein,s,320.34,146.57,.45754511
Lexique,Inflected,Token,SUB,G1,5,ein,t,320.34,144.55,.45123931
Lexique,Inflected,Token,SUB,G1,5,ein,ts,320.34,29.22,.09121558
ManG15,All Words,Type,ALL,G1,5,ein,t,31,13,.41935484
ManG15,All Words,Type,ALL,G1,5,ein,s,31,8,.25806452
ManG15,All Words,Type,ALL,G1,5,ein,#,31,6,.19354839
ManG15,All Words,Type,ALL,G1,5,ein,ts,31,3,.09677419
ManG15,All Words,Type,ALL,G1,5,ein,g,31,1,.03225806
ManG15,All Words,Type,SUB,G1,5,ein,t,25,13,.52000000
ManG15,All Words,Type,SUB,G1,5,ein,s,25,8,.32000000
ManG15,All Words,Type,SUB,G1,5,ein,ts,25,3,.12000000
ManG15,All Words,Type,SUB,G1,5,ein,g,25,1,.04000000
ManG15,All Words,Token,ALL,G1,5,ein,#,353.18,200.36,.56731588
ManG15,All Words,Token,ALL,G1,5,ein,t,353.18,98.03,.27756929
ManG15,All Words,Token,ALL,G1,5,ein,s,353.18,49.33,.13968277
ManG15,All Words,Token,ALL,G1,5,ein,ts,353.18,5.44,.01539496
ManG15,All Words,Token,ALL,G1,5,ein,g,353.18,0.01,.00003709
ManG15,All Words,Token,SUB,G1,5,ein,t,152.81,98.03,.64150561
ManG15,All Words,Token,SUB,G1,5,ein,s,152.81,49.33,.32282852
ManG15,All Words,Token,SUB,G1,5,ein,ts,152.81,5.44,.03558015
ManG15,All Words,Token,SUB,G1,5,ein,g,152.81,0.01,.00008572
ManG15,Uninflected,Type,ALL,G1,5,ein,#,13,6,.46153846
ManG15,Uninflected,Type,ALL,G1,5,ein,t,13,6,.46153846
ManG15,Uninflected,Type,ALL,G1,5,ein,g,13,1,.07692308
ManG15,Uninflected,Type,SUB,G1,5,ein,t,7,6,.85714286
ManG15,Uninflected,Type,SUB,G1,5,ein,g,7,1,.14285714
ManG15,Uninflected,Token,ALL,G1,5,ein,#,294.32,200.36,.68077589
ManG15,Uninflected,Token,ALL,G1,5,ein,t,294.32,93.94,.31917960
ManG15,Uninflected,Token,ALL,G1,5,ein,g,294.32,0.01,.00004451
ManG15,Uninflected,Token,SUB,G1,5,ein,t,93.95,93.94,.99986057
ManG15,Uninflected,Token,SUB,G1,5,ein,g,93.95,0.01,.00013943
ManG15,Inflected,Type,ALL,G1,5,ein,t,23,12,.52173913
ManG15,Inflected,Type,ALL,G1,5,ein,s,23,8,.34782609
ManG15,Inflected,Type,ALL,G1,5,ein,ts,23,3,.13043478
ManG15,Inflected,Type,SUB,G1,5,ein,t,23,12,.52173913
ManG15,Inflected,Type,SUB,G1,5,ein,s,23,8,.34782609
ManG15,Inflected,Type,SUB,G1,5,ein,ts,23,3,.13043478
ManG15,Inflected,Token,ALL,G1,5,ein,t,152.79,98.02,.64152424
ManG15,Inflected,Token,ALL,G1,5,ein,s,152.79,49.33,.32288895
ManG15,Inflected,Token,ALL,G1,5,ein,ts,152.79,5.44,.03558681
ManG15,Inflected,Token,SUB,G1,5,ein,t,152.79,98.02,.64152424
ManG15,Inflected,Token,SUB,G1,5,ein,s,152.79,49.33,.32288895
ManG15,Inflected,Token,SUB,G1,5,ein,ts,152.79,5.44,.03558681
ManG1,All Words,Type,ALL,G1,5,ein,t,13,5,.38461538
ManG1,All Words,Type,ALL,G1,5,ein,s,13,4,.30769231
ManG1,All Words,Type,ALL,G1,5,ein,#,13,3,.23076923
ManG1,All Words,Type,ALL,G1,5,ein,ts,13,1,.07692308
ManG1,All Words,Type,SUB,G1,5,ein,t,10,5,.50000000
ManG1,All Words,Type,SUB,G1,5,ein,s,10,4,.40000000
ManG1,All Words,Type,SUB,G1,5,ein,ts,10,1,.10000000
ManG1,All Words,Token,ALL,G1,5,ein,#,391.01,243.61,.62302056
ManG1,All Words,Token,ALL,G1,5,ein,t,391.01,107.95,.27608459
ManG1,All Words,Token,ALL,G1,5,ein,s,391.01,38.61,.09873601
ManG1,All Words,Token,ALL,G1,5,ein,ts,391.01,0.84,.00215884
ManG1,All Words,Token,SUB,G1,5,ein,t,147.40,107.95,.73235981
ManG1,All Words,Token,SUB,G1,5,ein,s,147.40,38.61,.26191350
ManG1,All Words,Token,SUB,G1,5,ein,ts,147.40,0.84,.00572669
ManG1,Uninflected,Type,ALL,G1,5,ein,#,5,3,.60000000
ManG1,Uninflected,Type,ALL,G1,5,ein,t,5,2,.40000000
ManG1,Uninflected,Type,SUB,G1,5,ein,t,2,2,1
ManG1,Uninflected,Token,ALL,G1,5,ein,#,315.15,243.61,.77298929
ManG1,Uninflected,Token,ALL,G1,5,ein,t,315.15,71.54,.22701071
ManG1,Uninflected,Token,SUB,G1,5,ein,t,71.54,71.54,1
ManG1,Inflected,Type,ALL,G1,5,ein,t,10,5,.50000000
ManG1,Inflected,Type,ALL,G1,5,ein,s,10,4,.40000000
ManG1,Inflected,Type,ALL,G1,5,ein,ts,10,1,.10000000
ManG1,Inflected,Type,SUB,G1,5,ein,t,10,5,.50000000
ManG1,Inflected,Type,SUB,G1,5,ein,s,10,4,.40000000
ManG1,Inflected,Type,SUB,G1,5,ein,ts,10,1,.10000000
ManG1,Inflected,Token,ALL,G1,5,ein,t,147.40,107.95,.73235981
ManG1,Inflected,Token,ALL,G1,5,ein,s,147.40,38.61,.26191350
ManG1,Inflected,Token,ALL,G1,5,ein,ts,147.40,0.84,.00572669
ManG1,Inflected,Token,SUB,G1,5,ein,t,147.40,107.95,.73235981
ManG1,Inflected,Token,SUB,G1,5,ein,s,147.40,38.61,.26191350
ManG1,Inflected,Token,SUB,G1,5,ein,ts,147.40,0.84,.00572669
ManG2,All Words,Type,ALL,G1,5,ein,t,18,7,.38888889
ManG2,All Words,Type,ALL,G1,5,ein,#,18,5,.27777778
ManG2,All Words,Type,ALL,G1,5,ein,s,18,5,.27777778
ManG2,All Words,Type,ALL,G1,5,ein,ts,18,1,.05555556
ManG2,All Words,Type,SUB,G1,5,ein,t,13,7,.53846154
ManG2,All Words,Type,SUB,G1,5,ein,s,13,5,.38461538
ManG2,All Words,Type,SUB,G1,5,ein,ts,13,1,.07692308
ManG2,All Words,Token,ALL,G1,5,ein,#,304.58,183.61,.60283411
ManG2,All Words,Token,ALL,G1,5,ein,t,304.58,72.60,.23835923
ManG2,All Words,Token,ALL,G1,5,ein,s,304.58,48.15,.15808635
ManG2,All Words,Token,ALL,G1,5,ein,ts,304.58,0.22,.00072031
ManG2,All Words,Token,SUB,G1,5,ein,t,120.97,72.60,.60015031
ManG2,All Words,Token,SUB,G1,5,ein,s,120.97,48.15,.39803606
ManG2,All Words,Token,SUB,G1,5,ein,ts,120.97,0.22,.00181363
ManG2,Uninflected,Type,ALL,G1,5,ein,#,9,5,.55555556
ManG2,Uninflected,Type,ALL,G1,5,ein,t,9,4,.44444444
ManG2,Uninflected,Type,SUB,G1,5,ein,t,4,4,1
