Corpus	InfMorpho	FreqCount	Phoneme	Position	Unit	TotalFreq	UnitFreq	UnitProb
Lexique	All Words	Type	wa	Medial	oi	2037	1697	0.8330879
Lexique	All Words	Type	wa	Medial	ua	2037	99	0.0486009
Lexique	All Words	Type	wa	Medial	oie	2037	83	0.0407462
Lexique	All Words	Type	wa	Medial	oua	2037	65	0.0319097
Lexique	All Words	Type	wa	Medial	oî	2037	58	0.0284732
Lexique	All Words	Type	wa	Medial	oe	2037	8	0.0039273
Lexique	All Words	Type	wa	Medial	wa	2037	8	0.0039273
Lexique	All Words	Type	wa	Medial	ouâ	2037	5	0.0024546
Lexique	All Words	Type	wa	Medial	oê	2037	4	0.0019637
Lexique	All Words	Type	wa	Medial	eoi	2037	3	0.0014728
Lexique	All Words	Type	wa	Medial	oig	2037	3	0.0014728
Lexique	All Words	Type	wa	Medial	oue	2037	3	0.0014728
Lexique	All Words	Type	wa	Medial	hua	2037	1	0.0004909
Lexique	All Words	Type	5	Medial	in	1945	1040	0.5347044
Lexique	All Words	Type	5	Medial	en	1945	219	0.1125964
Lexique	All Words	Type	5	Medial	im	1945	170	0.0874036
Lexique	All Words	Type	5	Medial	ein	1945	135	0.0694087
Lexique	All Words	Type	5	Medial	ain	1945	132	0.0678663
Lexique	All Words	Type	5	Medial	ym	1945	90	0.0462725
Lexique	All Words	Type	5	Medial	yn	1945	73	0.0375321
Lexique	All Words	Type	5	Medial	un	1945	46	0.0236504
Lexique	All Words	Type	5	Medial	ïn	1945	16	0.0082262
Lexique	All Words	Type	5	Medial	în	1945	7	0.003599
Lexique	All Words	Type	5	Medial	e	1945	4	0.0020566
Lexique	All Words	Type	5	Medial	ing	1945	4	0.0020566
Lexique	All Words	Type	5	Medial	em	1945	3	0.0015424
Lexique	All Words	Type	5	Medial	inc	1945	3	0.0015424
Lexique	All Words	Type	5	Medial	aim	1945	2	0.0010283
Lexique	All Words	Type	5	Medial	um	1945	1	0.0005141
Lexique	All Words	Type	ks	Medial	x	1870	1141	0.6101604
Lexique	All Words	Type	ks	Medial	ct	1870	393	0.2101604
Lexique	All Words	Type	ks	Medial	cc	1870	198	0.1058824
Lexique	All Words	Type	ks	Medial	xc	1870	104	0.055615
Lexique	All Words	Type	ks	Medial	xe	1870	10	0.0053476
Lexique	All Words	Type	ks	Medial	xs	1870	8	0.0042781
Lexique	All Words	Type	ks	Medial	cs	1870	7	0.0037433
Lexique	All Words	Type	ks	Medial	xt	1870	3	0.0016043
Lexique	All Words	Type	ks	Medial	cks	1870	2	0.0010695
Lexique	All Words	Type	ks	Medial	kes	1870	2	0.0010695
Lexique	All Words	Type	ks	Medial	xh	1870	2	0.0010695
Lexique	All Words	Type	ij	Medial	ill	1839	899	0.4888526
Lexique	All Words	Type	ij	Medial	i	1839	722	0.3926047
Lexique	All Words	Type	ij	Medial	y	1839	105	0.0570962
Lexique	All Words	Type	ij	Medial	ille	1839	83	0.0451332
Lexique	All Words	Type	ij	Medial	ii	1839	20	0.0108755
Lexique	All Words	Type	ij	Medial	illi	1839	7	0.0038064
Lexique	All Words	Type	ij	Medial	ilh	1839	3	0.0016313
Lexique	All Words	Type	N	Medial	gn	1448	1272	0.878453
Lexique	All Words	Type	N	Medial	gne	1448	147	0.1015193
Lexique	All Words	Type	N	Medial	gni	1448	29	0.0200276
Lexique	All Words	Type	waj	Medial	oy	634	614	0.9684543
Lexique	All Words	Type	waj	Medial	ouaill	634	15	0.0236593
Lexique	All Words	Type	waj	Medial	waï	634	2	0.0031546
Lexique	All Words	Type	waj	Medial	waii	634	2	0.0031546
Lexique	All Words	Type	waj	Medial	oill	634	1	0.0015773
Lexique	All Words	Type	w	Medial	ou	588	522	0.8877551
Lexique	All Words	Type	w	Medial	w	588	33	0.0561224
Lexique	All Words	Type	w	Medial	u	588	30	0.0510204
